Team,Year,RS,RA,W,OBP,SLG,BA
MON,1979,701,581,95,0.319,0.408,0.264
NYM,1979,593,706,63,0.313,0.35,0.25
NYY,1979,734,672,89,0.328,0.406,0.266
OAK,1979,573,860,54,0.302,0.346,0.239
PHI,1979,683,718,84,0.34,0.396,0.266
PIT,1979,775,643,98,0.33,0.416,0.272
SDP,1979,603,681,68,0.311,0.348,0.242
SEA,1979,711,820,67,0.331,0.404,0.269
SFG,1979,672,751,71,0.319,0.365,0.246
STL,1979,731,693,86,0.331,0.401,0.278
TEX,1979,750,698,83,0.334,0.409,0.278
TOR,1979,613,862,53,0.311,0.363,0.251
ATL,1978,600,750,69,0.315,0.363,0.244
BAL,1978,659,633,90,0.326,0.396,0.258
BOS,1978,796,657,99,0.336,0.424,0.267
CAL,1978,691,666,87,0.33,0.37,0.259
CHC,1978,664,724,79,0.331,0.361,0.264
CHW,1978,634,731,71,0.317,0.379,0.264
CIN,1978,710,688,92,0.334,0.393,0.256
CLE,1978,639,694,69,0.323,0.379,0.261
DET,1978,714,653,86,0.339,0.392,0.271
HOU,1978,605,634,74,0.313,0.355,0.258
KCR,1978,743,634,92,0.329,0.399,0.268
LAD,1978,727,573,95,0.338,0.402,0.264
MIL,1978,804,650,93,0.339,0.432,0.276
MIN,1978,666,678,73,0.339,0.375,0.267
MON,1978,633,611,76,0.306,0.379,0.254
NYM,1978,607,690,66,0.314,0.352,0.245
NYY,1978,735,582,100,0.329,0.388,0.267
OAK,1978,532,690,69,0.303,0.351,0.245
PHI,1978,708,586,90,0.328,0.388,0.258
PIT,1978,684,637,88,0.32,0.385,0.257
SDP,1978,591,598,84,0.321,0.348,0.252
SEA,1978,614,834,56,0.314,0.359,0.248
SFG,1978,613,594,89,0.318,0.374,0.248
STL,1978,600,657,69,0.303,0.358,0.249
TEX,1978,692,632,87,0.332,0.381,0.253
TOR,1978,590,775,59,0.308,0.359,0.25
ATL,1977,678,895,61,0.32,0.376,0.254
BAL,1977,719,653,97,0.329,0.393,0.261
BOS,1977,859,712,97,0.345,0.465,0.281
CAL,1977,675,695,74,0.324,0.386,0.255
CHC,1977,692,739,81,0.33,0.387,0.266
CHW,1977,844,771,90,0.344,0.444,0.278
CIN,1977,802,725,88,0.345,0.436,0.274
CLE,1977,676,739,71,0.334,0.38,0.269
DET,1977,714,751,74,0.318,0.41,0.264
HOU,1977,680,650,81,0.32,0.385,0.254
KCR,1977,822,651,102,0.34,0.436,0.277
LAD,1977,769,582,98,0.336,0.418,0.266
MIL,1977,639,765,67,0.314,0.389,0.258
MIN,1977,867,776,84,0.348,0.417,0.282
MON,1977,665,736,75,0.318,0.402,0.26
NYM,1977,587,663,64,0.313,0.346,0.244
NYY,1977,831,651,100,0.344,0.444,0.281
OAK,1977,605,749,63,0.308,0.352,0.24
PHI,1977,847,668,101,0.346,0.448,0.279
PIT,1977,734,665,96,0.331,0.413,0.274
SDP,1977,692,834,69,0.324,0.375,0.249
SEA,1977,624,855,64,0.312,0.381,0.256
SFG,1977,673,711,75,0.323,0.383,0.253
STL,1977,737,688,83,0.33,0.388,0.27
TEX,1977,767,657,94,0.342,0.405,0.27
TOR,1977,605,822,54,0.316,0.365,0.252
ATL,1976,620,700,70,0.32,0.334,0.245
BAL,1976,619,598,88,0.31,0.358,0.243
BOS,1976,716,660,83,0.324,0.402,0.263
CAL,1976,550,631,76,0.306,0.318,0.235
CHC,1976,611,728,75,0.313,0.356,0.251
CHW,1976,586,745,64,0.314,0.349,0.255
CIN,1976,857,633,102,0.357,0.424,0.28
CLE,1976,615,615,81,0.321,0.359,0.263
DET,1976,609,709,74,0.315,0.365,0.257
HOU,1976,625,657,80,0.322,0.347,0.256
KCR,1976,713,611,90,0.327,0.371,0.269
LAD,1976,608,543,92,0.313,0.349,0.251
MIL,1976,570,655,66,0.311,0.34,0.246
MIN,1976,743,704,85,0.341,0.375,0.274
MON,1976,531,734,55,0.291,0.34,0.235
NYM,1976,615,538,86,0.319,0.352,0.246
NYY,1976,730,575,97,0.328,0.389,0.269
OAK,1976,686,598,87,0.323,0.361,0.246
PHI,1976,770,557,101,0.338,0.395,0.272
PIT,1976,708,630,92,0.321,0.391,0.267
SDP,1976,570,662,73,0.31,0.337,0.247
SFG,1976,595,686,74,0.312,0.345,0.246
STL,1976,629,671,72,0.323,0.359,0.26
TEX,1976,616,652,76,0.321,0.341,0.25
ATL,1975,583,739,67,0.313,0.346,0.244
BAL,1975,682,553,90,0.326,0.373,0.252
BOS,1975,796,709,95,0.344,0.417,0.275
CAL,1975,628,723,72,0.322,0.328,0.246
CHC,1975,712,827,75,0.338,0.368,0.259
CHW,1975,655,703,75,0.331,0.358,0.255
CIN,1975,840,586,108,0.353,0.401,0.271
CLE,1975,688,703,79,0.327,0.392,0.261
DET,1975,570,786,57,0.301,0.366,0.249
HOU,1975,664,711,64,0.32,0.359,0.254
KCR,1975,710,649,91,0.333,0.394,0.261
LAD,1975,648,534,88,0.325,0.365,0.248
MIL,1975,675,792,68,0.32,0.389,0.25
MIN,1975,724,736,76,0.341,0.386,0.271
MON,1975,601,690,75,0.317,0.348,0.244
NYM,1975,646,625,82,0.319,0.361,0.256
NYY,1975,681,588,83,0.325,0.382,0.264
OAK,1975,758,606,98,0.333,0.391,0.254
PHI,1975,735,694,86,0.342,0.402,0.269
PIT,1975,712,565,92,0.323,0.402,0.263
SDP,1975,552,683,71,0.31,0.335,0.244
SFG,1975,659,671,80,0.333,0.365,0.259
STL,1975,662,689,82,0.327,0.375,0.273
TEX,1975,714,733,79,0.33,0.371,0.256
ATL,1974,661,563,88,0.319,0.363,0.249
BAL,1974,659,612,91,0.322,0.37,0.256
BOS,1974,696,661,84,0.333,0.377,0.264
CAL,1974,618,657,68,0.321,0.356,0.254
CHC,1974,669,826,66,0.327,0.365,0.251
CHW,1974,684,721,80,0.33,0.389,0.268
CIN,1974,776,631,98,0.343,0.394,0.26
CLE,1974,662,694,77,0.311,0.37,0.255
DET,1974,620,768,72,0.303,0.366,0.247
HOU,1974,653,632,81,0.322,0.378,0.263
KCR,1974,667,662,77,0.327,0.364,0.259
LAD,1974,798,561,102,0.342,0.401,0.272
MIL,1974,647,660,76,0.309,0.369,0.244
MIN,1974,673,669,82,0.336,0.378,0.272
MON,1974,662,657,79,0.335,0.35,0.254
NYM,1974,572,646,71,0.311,0.329,0.235
NYY,1974,671,623,89,0.324,0.368,0.263
OAK,1974,689,551,90,0.321,0.373,0.247
PHI,1974,676,701,80,0.32,0.373,0.261
PIT,1974,751,657,88,0.335,0.391,0.274
SDP,1974,541,830,60,0.302,0.33,0.229
SFG,1974,634,723,72,0.322,0.358,0.252
STL,1974,677,643,86,0.331,0.365,0.265
TEX,1974,690,698,83,0.336,0.377,0.272
ATL,1973,799,774,76,0.339,0.427,0.266
BAL,1973,754,561,97,0.345,0.389,0.266
BOS,1973,738,647,89,0.338,0.401,0.267
CAL,1973,629,657,79,0.318,0.348,0.253
CHC,1973,614,655,77,0.32,0.357,0.247
CHW,1973,652,705,77,0.324,0.372,0.256
CIN,1973,741,621,99,0.332,0.383,0.254
CLE,1973,680,826,71,0.315,0.387,0.256
DET,1973,642,674,85,0.32,0.39,0.254
HOU,1973,681,672,82,0.312,0.376,0.251
KCR,1973,755,752,88,0.339,0.381,0.261
LAD,1973,675,565,95,0.323,0.371,0.263
MIL,1973,708,731,74,0.325,0.388,0.253
MIN,1973,738,692,81,0.342,0.393,0.27
MON,1973,668,702,79,0.34,0.364,0.251
NYM,1973,608,588,82,0.315,0.338,0.246
NYY,1973,641,610,80,0.322,0.378,0.261
OAK,1973,758,615,94,0.333,0.389,0.26
PHI,1973,642,717,71,0.31,0.371,0.249
PIT,1973,704,693,80,0.315,0.405,0.261
SDP,1973,548,770,60,0.296,0.351,0.244
SFG,1973,739,702,88,0.335,0.407,0.262
STL,1973,643,603,81,0.325,0.357,0.259
TEX,1973,619,844,57,0.318,0.361,0.255
ATL,1971,643,699,82,0.312,0.385,0.257
BAL,1971,742,530,101,0.347,0.398,0.261
BOS,1971,691,667,85,0.322,0.397,0.252
CAL,1971,511,576,76,0.29,0.329,0.231
CHC,1971,637,648,83,0.325,0.378,0.258
CHW,1971,617,597,79,0.325,0.373,0.25
CIN,1971,586,581,79,0.3,0.366,0.241
CLE,1971,543,747,60,0.3,0.342,0.238
DET,1971,701,645,91,0.325,0.405,0.254
HOU,1971,585,567,79,0.302,0.34,0.24
KCR,1971,603,566,85,0.313,0.353,0.25
LAD,1971,663,587,89,0.325,0.37,0.266
MIL,1971,534,609,69,0.304,0.329,0.229
MIN,1971,654,670,74,0.323,0.372,0.26
MON,1971,622,729,71,0.322,0.343,0.246
NYM,1971,588,550,83,0.319,0.351,0.249
NYY,1971,648,641,81,0.328,0.36,0.254
OAK,1971,691,564,101,0.321,0.384,0.252
PHI,1971,558,688,67,0.298,0.35,0.233
PIT,1971,788,599,97,0.33,0.416,0.274
SDP,1971,486,610,61,0.293,0.332,0.233
SFG,1971,706,644,90,0.329,0.378,0.247
STL,1971,739,699,90,0.338,0.385,0.275
WSA,1971,537,660,63,0.307,0.326,0.23
ATL,1970,736,772,76,0.334,0.404,0.27
BAL,1970,792,574,108,0.344,0.401,0.257
BOS,1970,786,722,87,0.335,0.428,0.262
CAL,1970,631,630,86,0.309,0.363,0.251
CHC,1970,806,679,84,0.333,0.415,0.259
CHW,1970,633,822,56,0.315,0.362,0.253
CIN,1970,775,681,102,0.336,0.436,0.27
CLE,1970,649,675,76,0.314,0.394,0.249
DET,1970,666,731,79,0.322,0.374,0.238
HOU,1970,744,763,79,0.332,0.391,0.259
KCR,1970,611,705,65,0.309,0.348,0.244
LAD,1970,749,684,87,0.334,0.382,0.27
MIL,1970,613,751,65,0.319,0.358,0.242
MIN,1970,744,605,98,0.327,0.403,0.262
MON,1970,687,807,73,0.323,0.365,0.237
NYM,1970,695,630,83,0.333,0.37,0.249
NYY,1970,680,612,93,0.324,0.365,0.251
OAK,1970,678,593,89,0.325,0.392,0.249
PHI,1970,594,730,73,0.305,0.356,0.238
PIT,1970,729,664,89,0.325,0.406,0.27
SDP,1970,681,788,63,0.312,0.391,0.246
SFG,1970,831,826,86,0.351,0.409,0.262
STL,1970,744,747,76,0.331,0.379,0.263
WSA,1970,626,689,70,0.321,0.358,0.238
ATL,1969,691,631,93,0.321,0.38,0.258
BAL,1969,779,517,109,0.343,0.414,0.265
BOS,1969,743,736,87,0.333,0.415,0.251
CAL,1969,528,652,71,0.3,0.319,0.23
CHC,1969,720,611,92,0.323,0.384,0.253
CHW,1969,625,723,68,0.32,0.357,0.247
CIN,1969,798,768,89,0.335,0.422,0.277
CLE,1969,573,717,62,0.307,0.345,0.237
DET,1969,701,601,90,0.316,0.387,0.242
HOU,1969,676,668,81,0.33,0.352,0.24
KCR,1969,586,688,69,0.309,0.338,0.24
LAD,1969,645,561,85,0.315,0.359,0.254
MIN,1969,790,618,97,0.34,0.408,0.268
MON,1969,582,791,52,0.31,0.359,0.24
NYM,1969,632,541,100,0.311,0.351,0.242
NYY,1969,562,587,80,0.308,0.344,0.235
OAK,1969,740,678,88,0.329,0.376,0.249
PHI,1969,645,745,63,0.312,0.372,0.241
PIT,1969,725,652,88,0.334,0.398,0.277
SDP,1969,468,746,52,0.285,0.329,0.225
SEP,1969,639,799,64,0.316,0.346,0.234
SFG,1969,713,636,90,0.334,0.361,0.242
STL,1969,595,540,87,0.316,0.359,0.253
WSA,1969,694,644,86,0.33,0.378,0.251
ATL,1968,514,549,81,0.307,0.339,0.252
BAL,1968,579,497,91,0.304,0.352,0.225
BOS,1968,614,611,86,0.313,0.352,0.236
CAL,1968,498,615,67,0.291,0.318,0.227
CHC,1968,612,611,84,0.298,0.366,0.242
CHW,1968,463,527,67,0.284,0.311,0.228
CIN,1968,690,673,83,0.32,0.389,0.273
CLE,1968,516,504,86,0.293,0.327,0.234
DET,1968,671,492,103,0.307,0.385,0.235
HOU,1968,510,588,72,0.298,0.317,0.231
LAD,1968,470,509,76,0.289,0.319,0.23
MIN,1968,562,546,79,0.299,0.35,0.237
NYM,1968,473,499,73,0.281,0.315,0.228
NYY,1968,536,531,83,0.292,0.318,0.214
OAK,1968,569,544,82,0.304,0.343,0.24
PHI,1968,543,615,76,0.294,0.333,0.233
PIT,1968,583,532,80,0.306,0.343,0.252
SFG,1968,599,529,88,0.307,0.341,0.239
STL,1968,583,472,97,0.298,0.346,0.249
WSA,1968,524,665,65,0.287,0.336,0.224
ATL,1967,631,640,77,0.307,0.372,0.24
BAL,1967,654,592,76,0.31,0.372,0.24
BOS,1967,722,614,92,0.321,0.395,0.255
CAL,1967,567,587,84,0.301,0.349,0.238
CHC,1967,702,624,87,0.316,0.378,0.251
CHW,1967,531,491,89,0.291,0.32,0.225
CIN,1967,604,563,87,0.297,0.372,0.248
CLE,1967,559,613,75,0.293,0.359,0.235
DET,1967,683,587,91,0.325,0.376,0.243
HOU,1967,626,742,69,0.317,0.364,0.249
KCA,1967,533,660,62,0.296,0.33,0.233
LAD,1967,519,595,73,0.301,0.332,0.236
MIN,1967,671,590,91,0.309,0.369,0.24
NYM,1967,498,672,61,0.288,0.325,0.238
NYY,1967,522,621,72,0.296,0.317,0.225
PHI,1967,612,581,82,0.313,0.357,0.242
PIT,1967,679,693,81,0.324,0.38,0.277
SFG,1967,652,551,91,0.313,0.372,0.245
STL,1967,695,557,101,0.32,0.379,0.263
WSA,1967,550,637,76,0.288,0.326,0.223
ATL,1966,782,683,85,0.326,0.424,0.263
BAL,1966,755,601,97,0.324,0.409,0.258
BOS,1966,655,731,72,0.31,0.376,0.24
CAL,1966,604,643,80,0.303,0.354,0.232
CHC,1966,644,809,59,0.313,0.38,0.254
CHW,1966,574,517,83,0.297,0.331,0.231
CIN,1966,692,702,76,0.309,0.395,0.26
CLE,1966,574,586,81,0.297,0.36,0.237
DET,1966,719,698,88,0.321,0.406,0.251
HOU,1966,612,695,72,0.318,0.365,0.255
KCA,1966,564,648,74,0.294,0.337,0.236
LAD,1966,606,490,95,0.314,0.362,0.256
MIN,1966,663,581,89,0.316,0.382,0.249
NYM,1966,587,761,66,0.301,0.342,0.239
NYY,1966,611,612,70,0.299,0.374,0.235
PHI,1966,696,640,87,0.322,0.378,0.258
PIT,1966,759,641,92,0.329,0.428,0.279
SFG,1966,675,626,93,0.303,0.392,0.248
STL,1966,571,577,83,0.298,0.368,0.251
WSA,1966,557,659,71,0.295,0.355,0.234
BAL,1965,641,578,94,0.307,0.363,0.238
BOS,1965,669,791,62,0.327,0.4,0.251
CAL,1965,527,569,75,0.297,0.341,0.239
CHC,1965,635,723,72,0.307,0.358,0.238
CHW,1965,647,555,95,0.315,0.364,0.246
CIN,1965,825,704,89,0.339,0.439,0.273
CLE,1965,663,613,87,0.315,0.379,0.25
DET,1965,680,602,89,0.312,0.374,0.238
HOU,1965,569,711,65,0.305,0.34,0.237
KCA,1965,585,755,59,0.309,0.358,0.24
LAD,1965,608,521,97,0.312,0.335,0.245
MIN,1965,774,600,102,0.324,0.399,0.254
MLN,1965,708,633,86,0.31,0.416,0.256
NYM,1965,495,752,50,0.277,0.327,0.221
NYY,1965,611,604,77,0.299,0.364,0.235
PHI,1965,654,667,85,0.313,0.384,0.25
PIT,1965,675,580,90,0.317,0.382,0.265
SFG,1965,682,593,95,0.313,0.385,0.252
STL,1965,707,674,80,0.314,0.371,0.254
WSA,1965,591,721,70,0.304,0.35,0.228
BAL,1964,679,567,97,0.316,0.387,0.248
BOS,1964,688,793,72,0.322,0.416,0.258
CHC,1964,649,724,76,0.314,0.39,0.251
CHW,1964,642,501,98,0.32,0.353,0.247
CIN,1964,660,566,92,0.308,0.372,0.249
CLE,1964,689,693,79,0.312,0.38,0.247
DET,1964,699,678,85,0.319,0.395,0.253
HOU,1964,495,628,66,0.285,0.315,0.229
KCA,1964,621,836,57,0.311,0.379,0.239
LAA,1964,544,551,82,0.304,0.344,0.242
LAD,1964,614,572,80,0.305,0.34,0.25
MIN,1964,737,678,79,0.322,0.427,0.252
MLN,1964,803,744,88,0.333,0.418,0.272
NYM,1964,569,776,53,0.296,0.348,0.246
NYY,1964,730,577,99,0.317,0.387,0.253
PHI,1964,693,632,92,0.315,0.391,0.258
PIT,1964,663,636,80,0.315,0.389,0.264
SFG,1964,656,587,90,0.31,0.382,0.246
STL,1964,715,652,93,0.324,0.392,0.272
WSA,1964,578,733,62,0.299,0.348,0.231
BAL,1963,644,621,86,0.31,0.38,0.249
BOS,1963,666,704,76,0.312,0.4,0.252
CHC,1963,570,578,82,0.297,0.363,0.238
CHW,1963,683,544,94,0.323,0.365,0.25
CIN,1963,648,594,86,0.31,0.371,0.246
CLE,1963,635,702,79,0.301,0.381,0.239
DET,1963,700,703,79,0.327,0.382,0.252
HOU,1963,464,640,66,0.283,0.301,0.22
KCA,1963,615,704,73,0.313,0.353,0.247
LAA,1963,597,660,70,0.309,0.354,0.25
LAD,1963,640,550,99,0.309,0.357,0.251
MIN,1963,767,602,91,0.325,0.43,0.255
MLN,1963,677,603,84,0.312,0.37,0.244
NYM,1963,501,774,51,0.285,0.315,0.219
NYY,1963,714,547,104,0.309,0.403,0.252
PHI,1963,642,578,87,0.306,0.381,0.252
PIT,1963,567,595,74,0.309,0.359,0.25
SFG,1963,725,641,88,0.316,0.414,0.258
STL,1963,747,628,93,0.326,0.403,0.271
WSA,1963,578,812,56,0.293,0.351,0.227
BAL,1962,652,680,77,0.314,0.387,0.248
BOS,1962,707,756,76,0.324,0.403,0.258
CHC,1962,632,827,59,0.317,0.377,0.253
CHW,1962,707,658,85,0.334,0.372,0.257
CIN,1962,802,685,98,0.332,0.417,0.27
CLE,1962,682,745,80,0.312,0.388,0.245
DET,1962,758,692,85,0.33,0.411,0.248
HOU,1962,592,717,64,0.31,0.351,0.246
KCA,1962,745,837,72,0.332,0.386,0.263
LAA,1962,718,706,86,0.325,0.38,0.25
LAD,1962,842,697,102,0.337,0.4,0.268
MIN,1962,798,713,91,0.338,0.412,0.26
MLN,1962,730,665,86,0.326,0.403,0.252
NYM,1962,617,948,40,0.318,0.361,0.24
NYY,1962,817,680,96,0.337,0.426,0.267
PHI,1962,705,759,81,0.33,0.39,0.26
PIT,1962,706,626,93,0.321,0.394,0.268
SFG,1962,878,690,103,0.341,0.441,0.278
STL,1962,774,664,84,0.335,0.394,0.271
WSA,1962,599,716,60,0.308,0.373,0.25
